core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
Peel-4SL,,0,1,-50.81666667,-74,39,0.395,0.495749241,0.021742155,0.008326529,0.002974614,0.468292578,0.002914882,0.08,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
AII-107-6-27,GC,0,1,-54.753,-3.518,2921,0.314,0.5152,0.0698,0.0209,0.0042,0.3832,0.0068,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
PLS-91-1-12,BC,0,1,84.185,33.94,4052,0.318,0.4962,0.0609,0.0179,0.0027,0.4146,0.0077,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
DNT05-22 BEN,MC,0,5,46.621,-58.712,18,0.318,0.4634,0.0432,0.0123,0.005,0.4733,0.0029,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
LMG98-02-KC6 ,KC,0,2,-67.216,-66.884,490,0.325,0.5221,0.0248,0.0067,0.0019,0.4411,0.0034,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
PLS-91-1-1,PC,0,1,78.308,29.202,303,0.325,0.496,0.0225,0.0055,0.0026,0.4707,0.0027,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
AII-107-6-24,GC,0,1,-54.857,-8.718,3255,0.328,0.5112,0.0676,0.0207,0.0032,0.3883,0.0091,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
CHN-115-4-35,PC,0,1,-53.6,0.1,2643,0.33,0.5434,0.061,0.0192,0.0039,0.3655,0.0069,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
BS627,MC,0,1,72.322,24.048,264,0.331,0.5492,0.0329,0.0092,0.0042,0.4016,0.003,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
NBP0003-29,KC,0,2,-64.356,-58.444,690,0.332,0.502,0.0131,0.0037,0.002,0.4784,0.0008,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
PLS-91-1-14,BC,0,1,84.807,40.599,4018,0.334,0.497,0.0481,0.014,0.0031,0.4307,0.0071,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
NBP0107 JPC33,JPC,0,5,-63.135,-61.491,704,0.336,0.541,0.0234,0.0068,0.0024,0.4237,0.0027,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
AII-GGC-22,GGC,0,1,-54.792,-3.33,2768,0.337,0.5461,0.0608,0.0197,0.0034,0.3622,0.0078,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
NBP0702-20,SMG,0,5,-71.13,-106.01,512,0.338,0.5164,0.0328,0.0097,0.0027,0.4341,0.0043,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
IS-S5,MC,0,0.5,53.883,-5.593,104,0.339,0.4588,0.0345,0.0103,0.0038,0.4891,0.0036,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
HB-5,MC,1,2,60.621,-90.712,128,0.339,0.4967,0.0204,0.0049,0.0025,0.4724,0.003,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
BS655,MC,0,1,73.297,25.532,412,0.339,0.5642,0.0242,0.0068,0.0034,0.3991,0.0022,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
PLS-91-1-10,BC,0,1,83.706,32.377,4004,0.343,0.494,0.0554,0.0175,0.0029,0.4217,0.0085,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
BS625,MC,0,1,71.721,21.75,360,0.343,0.5419,0.0398,0.0117,0.0053,0.3975,0.0038,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
GeoB2719-3,MC,0,1,-47.442,-60.093,684,0.344,0.5404,0.0342,0.011,0.003,0.4074,0.004,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
NBP0702-15,SMG,0,5,-72.56,-125.81,425,0.346,0.5056,0.0232,0.0064,0.0027,0.459,0.0032,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
BS659,MC,0,1,71.972,25.047,256,0.346,0.5421,0.0341,0.0104,0.0047,0.4057,0.0029,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
PLS-91-1-20,GC,0,1,83.017,48.229,2900,0.346,0.503,0.0342,0.0099,0.003,0.4446,0.0052,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
NBP0702-17,SMG,0,5,-71.54,-114.99,424,0.347,0.531,0.0204,0.0056,0.0021,0.4378,0.0031,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
IS-S6,MC,0,0.5,54.119,-5.584,54,0.347,0.4886,0.0279,0.0087,0.0037,0.4686,0.0025,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
BS661,MC,0,1,71.371,22.758,408,0.348,0.5258,0.0389,0.0118,0.0053,0.4145,0.0037,,2010,Kim2010,,http://dx.doi.org/10.1016/j.gca.2010.05.027
